,Name,TenforeId,ReturnM0,ReturnM12,ReturnM36,ReturnM60,StandardDeviationM36,SharpeM36,TrackRecordExtension,ReturnM120,AlphaM36,BetaM36
11273,FISCH Convertible Global Sustainable AD,52.8.LU0445341935,-2.83,-8.65,-3.67,1.34,8.74,-0.32,False,3.72,,
11274,FISCH Convertible Global Sustainable BD,52.8.LU1130246405,-2.23,-7.93,-2.98,2.02,8.75,-0.24,False,,,
11275,GS Gbl ConvBnd Opp-P Cap USD,52.8.LU1341434014,1.22,-5.71,0.94,2.13,10.51,0.22,False,,0.42,0.98
11276,GS Gbl ConvBnd Opp-R Cap USD,,1.34,-4.54,0.01,,10.89,0.13,False,,-1.86,0.9
11277,Invesco Global Convertible Z USD Acc,52.8.LU1814057326,3.39,-0.65,3.85,6.34,9.9,0.52,True,,-1.23,0.96
11278,JPM Global Convert (EUR) A (acc) USD Hdg,52.8.LU1569815084,2.53,-3.02,-4.39,2.32,13.35,-0.18,False,,-1.37,0.78
11279,JPM Global Convert (EUR) C (acc) USD Hdg,52.8.LU1569815241,3.03,-2.44,-3.81,2.94,13.36,-0.13,False,,-0.77,0.78
11280,JPM Global Cnvrts Cnsrv A (acc) USD,52.8.LU0194732953,2.91,-1.41,1.86,2.96,7.31,0.29,False,4.91,-0.93,0.63
11281,JPM Global Cnvrts Cnsrv A (dist) USD,52.8.LU1038913379,2.92,-1.42,1.84,2.92,7.31,0.28,False,,-0.94,0.63
11282,JPM Global Cnvrts Cnsrv C (acc) USD,52.8.LU0194461744,3.46,-0.77,2.49,3.56,7.31,0.37,False,5.54,-0.32,0.63
11283,JPM Global Cnvrts Cnsrv C (div) USD,,,,,,,,False,,,
11284,JPM Global Cnvrts Cnsrv C (dist) USD,,1.46,2.48,3.47,2.64,8.64,,False,,-1.45,0.86
11285,JPM Global Cnvrts Cnsrv D (acc) USD,52.8.LU0194465067,2.49,-1.91,1.34,2.41,7.3,0.22,False,4.37,-1.44,0.63
11286,JPM Global Cnvrts Cnsrv I (acc) USD,52.8.LU0248013657,3.5,-0.73,2.53,3.61,7.31,0.38,False,5.59,-0.27,0.63
11287,JPM Global Cnvrts Cnsrv I2 (acc) USD,52.8.LU1727361492,8.94,6.15,,,,,False,,,
11288,JPM Global Cnvrts Cnsrv S2 (acc) USD,52.8.LU2415399547,,,,,,,False,,,
11289,JSS Sust Bd Glb Cnvrts I USD,52.8.LU2041628673,-1.05,-6.22,-0.56,,8.62,0.06,False,,-1.47,0.93
11290,JSS Sust Bd Glb Cnvrts I USD Acc,52.8.LU1280138659,-1.05,-6.21,-0.56,3.34,8.62,0.06,False,,-1.47,0.93
11291,JSS Sust Bd Glb Cnvrts P USD Acc,52.8.LU1280137842,-1.55,-6.81,-1.19,2.69,8.62,-0.02,False,,-2.11,0.93
11292,Jupiter Global Convert D USD A Inc HSC,52.8.LU0946222477,-0.08,-4.33,2.56,2.93,8.27,0.45,False,,2.46,0.49
11293,Jupiter Global Convert I USD Acc HSC,52.8.LU0522256980,0.01,-4.34,2.59,2.95,8.27,0.46,False,5.3,2.52,0.49
11294,Jupiter Global Convert L USD Acc HSC,52.8.LU0522255669,-0.62,-5.04,1.8,2.14,8.23,0.36,False,4.45,1.71,0.5
11295,Lazard Convertible Global PC H-USD,52.8.FR0013429446,3.17,-3.34,0.25,,11.65,0.21,False,,3.43,1.1
11296,Lazard Convertible Global RC H-USD,52.8.FR0013429396,2.67,-3.93,-0.36,,11.64,0.15,False,,2.82,1.1
11297,Lazard Convertible Global RD H-USD,52.8.FR0013429412,2.67,-3.93,-0.36,,11.64,0.15,False,,2.82,1.1
11298,LO Funds Convertible Bond SH USD MA,52.8.LU0988721758,0.44,-4.91,0.52,3.13,7.77,0.22,True,,-1.39,0.45
11299,LO Funds Convertible Bond SH USD NA,52.8.LU0871571997,0.6,-4.72,0.71,3.33,7.77,0.25,True,5.08,-1.2,0.45
11300,LO Funds Convertible Bond SH USD PA,52.8.LU0871572292,-0.03,-5.47,-0.07,2.53,7.77,0.15,True,4.26,-1.98,0.45
11301,LO Funds Glbl Cnvrt Bd Dfn Dlt SdSHUSDNA,52.8.LU1140674828,1.08,-3.8,2.77,3.99,6.85,0.53,True,,,
11302,LO Funds Glbl Cnvrt Bd Dfn Dlt SdSHUSDMA,,3.48,4.99,4.84,5.78,8.13,0.68,False,,,
11303,LO Funds Glbl Cnvrt Bd Dfn Dlt SHUSDNA,52.8.LU1130482984,0.81,-4.12,2.44,3.65,6.84,0.48,False,,,
11304,LO FundsTargetNetZeroGlbCnvrtBdSHSdUSDMA,52.8.LU2337978121,-3.45,-8.04,,,,,False,,,
11305,LO FundsTargetNetZeroGlbCnvrtBdSHSdUSDPA,,-6.69,,,,,,False,,,
11306,LO FundsTargetNetZero GlbCnvrt BdSHUSDMA,52.8.LU2337979525,-3.77,-8.42,,,,,True,,,
11307,LO FundsTargetNetZero GlbCnvrt BdSHUSDNA,52.8.LU2337979012,-3.61,-8.24,,,,,False,,,
11308,M&G (Lux) Glb Cnvrts A H USD Acc,52.8.LU1670709655,-1.14,-5.06,0.61,2.83,8.76,0.23,True,4.51,0.88,0.73
11309,M&G (Lux) Glb Cnvrts A H USD Inc,52.8.LU1670709739,-1.16,-5.08,0.62,2.83,8.75,0.23,True,,0.89,0.73
11310,M&G (Lux) Glb Cnvrts C H USD Acc,52.8.LU1670709812,-0.49,-4.43,1.36,3.58,8.78,0.31,True,5.31,1.61,0.73
11311,M&G (Lux) Glb Cnvrts C H USD Inc,52.8.LU1670709903,-0.59,-4.42,1.33,3.78,8.79,0.31,True,,1.59,0.73
11312,M&G (Lux) Glb Cnvrts CI H USD Acc,52.8.LU1866904789,-0.51,-4.31,1.43,,8.76,0.32,False,,1.69,0.73
11313,Man Convertibles Global D H USD Acc,52.8.LU0631844205,-0.41,-5.26,-0.73,2.93,8.73,0.07,False,,-0.16,0.79
11314,Man Convertibles Global DR H USD Acc,52.8.LU0851817857,0.22,-4.48,0.01,3.72,8.73,0.15,False,,0.61,0.79
11315,Man Convertibles Global I H USD Acc,52.8.LU0631844387,0.22,-4.49,0.03,3.74,8.74,0.15,False,,0.63,0.79
11316,Man GLG Global Convertibles D USD,52.8.IE00BVRZB126,0.49,-4.0,-0.43,2.79,8.54,0.05,False,,-1.12,0.46
11317,Man GLG Global Convertibles DL USD,52.8.IE00B01D8Z85,0.61,-3.86,-0.54,2.27,8.56,0.03,False,3.69,-1.44,0.45
11318,Man GLG Global Convertibles I JPY,,14.72,11.82,5.41,,6.9,,False,,2.8,0.27
11319,Man GLG Global Convertibles I USD,52.8.IE00BVRZBP67,1.1,-3.29,0.31,3.56,8.55,0.13,False,,-0.38,0.46
11320,Man GLG Global Convertibles IL USD,52.8.IE00B29Z0B02,1.22,-3.13,0.15,2.93,8.56,0.11,False,4.36,-0.76,0.45
11321,Man GLG Global Convertibles IM USD,52.8.IE00B4Q68161,1.22,-3.14,0.47,3.63,8.55,0.15,False,5.01,-0.22,0.46
11322,Mirabaud Sust Convert Glbl A USD Acc,52.8.LU0928190510,-1.11,-5.78,2.41,6.89,10.35,0.44,False,6.42,3.73,0.56
11323,Mirabaud Sust Convert Glbl A USD inc,52.8.LU0972400278,-1.12,-5.79,2.41,6.89,10.34,0.44,False,,3.74,0.56
11324,Mirabaud Sust Convert Glbl I USD Acc,52.8.LU0963989487,-0.48,-5.04,3.14,7.63,10.34,0.5,False,,4.45,0.56
11325,Mirabaud Sust Convert Glbl N USD Acc,52.8.LU1708487993,-0.55,-5.12,3.07,7.56,10.34,0.5,False,,4.37,0.56
11326,MS INVF Global Convertible Bond A USD,52.8.LU0149084633,4.28,-0.21,4.42,6.44,8.68,0.66,False,6.05,3.64,0.9
11327,MS INVF Global Convertible Bond I,52.8.LU0149084476,4.67,0.26,4.89,6.92,8.68,0.71,False,6.54,4.08,0.9
11328,MS INVF Global Convertible Bond Z,52.8.LU0360484413,4.74,0.34,4.96,6.98,8.68,0.72,False,6.59,4.15,0.9
11329,New Capital Global Cnvrt Bd USD I Acc,52.8.IE00BK9WPH86,0.61,-4.84,1.33,,9.33,0.32,False,,,
11330,New Capital Global Cnvrt Bd USD I Inc,52.8.IE00BL0KXM98,0.61,-4.84,1.33,,9.33,0.32,False,,,
11331,New Capital Global Cnvrt Bd USD O Acc,52.8.IE00BK9WPZ68,0.12,-5.41,0.73,,9.32,0.25,False,,,
11332,New Capital Global Cnvrt Bd USD X Acc,52.8.IE00BK9WPK16,1.14,-4.21,2.0,,9.33,0.39,False,,,
11333,New Capital Global Cnvrt Bd USD A Acc,52.8.IE00BL0KXP20,-0.18,-5.74,,,,,False,,,
11334,New Capital Global Cnvrt Bd N USD Acc,52.8.IE00BL0KXQ37,-1.05,-6.77,,,,,False,,,
11335,Oaktree (Lux.) Fds-Glbl Cnvt Bd E$Acc,52.8.LU0931237514,-0.8,-6.28,0.88,4.15,8.11,0.3,False,5.52,0.33,0.89
11336,Oaktree (Lux.) Fds-Glbl Cnvt Bd I $Acc,52.8.LU0854924890,-0.68,-6.14,1.05,4.31,8.12,0.32,True,5.68,0.5,0.89
11337,Oaktree (Lux.) Fds-Glbl Cnvt Bd I2 $ Acc,52.8.LU2580728124,,,,,,,False,,,
11338,Oaktree (Lux.) Fds-Glbl Cnvt Bd R$Acc,52.8.LU0854923066,-1.27,-6.84,0.28,3.53,8.11,0.22,True,4.88,-0.27,0.89
11339,Redwheel Global Convert Fund A USD,52.8.LU0273642925,-0.92,-6.25,-1.14,2.7,8.67,0.04,False,4.44,-0.47,0.55
11340,Redwheel Global Convert Fund B USD,52.8.LU0273643733,-0.31,-5.53,-0.41,3.48,8.67,0.13,False,5.28,0.27,0.55
11341,Redwheel Global Convert R USD AccH,,2.96,-3.81,1.32,,8.71,0.18,False,,0.5,0.54
11342,Redwheel Global Convertibles S USD Acc H,,3.39,-3.67,2.59,,8.67,0.34,False,,1.2,0.54
11343,Salar A1 USD Non-Voting Acc,,9.93,8.77,10.6,,6.3,,False,,,
11344,Salar A1 USD,52.8.IE00B2PLHH71,4.13,-0.98,6.65,5.64,6.86,1.02,True,6.05,,
11345,Salar A2 USD,52.8.IE00B2PLHK01,-3.96,-6.75,,,,,False,,,
11346,Salar C1 USD Distr Inc,,10.24,11.86,7.07,6.02,8.19,,False,7.12,,
11347,Salar C1 USD Distr Non-Inc,52.8.IE00B68XGB59,4.13,-0.98,6.65,5.64,6.86,1.02,False,6.04,,
11348,Salar C2 USD Distr Inc,,16.49,16.49,10.87,,6.18,,False,,,
11349,Salar E1 USD,52.8.IE00B50W0L11,4.12,-0.99,6.64,5.6,6.86,1.02,False,6.0,,
11350,Salar Fund Plc E1 USD Hdg Inc,,-6.51,-1.55,-1.03,0.11,6.23,0.17,False,,,
11351,Salar E2 USD,52.8.IE00B51ZK080,3.7,-1.48,6.13,5.14,6.83,0.95,False,5.54,,
11352,Salar E3 USD,52.8.IE00B51ZL161,3.18,-2.08,5.59,4.61,6.82,0.88,False,5.03,,
11353,Schroder ISF Glb Convert Bd A Acc USD,52.8.LU0351442180,-0.31,-4.88,-2.11,2.66,9.37,-0.09,False,4.72,-2.7,0.96
11354,Schroder ISF Glb Convert Bd A1 Acc USD,52.8.LU0351442420,-0.63,-5.25,-2.5,2.25,9.37,-0.13,False,4.31,-3.1,0.96
11355,Schroder ISF Glb Convert Bd B Acc USD,52.8.LU0351442776,-0.71,-5.35,-2.6,2.15,9.37,-0.14,False,4.2,-3.2,0.96
11356,Schroder ISF Glb Convert Bd C Acc USD,52.8.LU0351442933,0.22,-4.25,-1.47,3.33,9.37,-0.02,False,5.36,-2.05,0.96
11357,Schroder ISF Glb Convert Bd C Dis QV,52.8.LU0935022649,0.22,-4.26,-1.47,3.33,9.38,-0.02,False,5.36,-2.05,0.96
11358,Schroder ISF Glb Convert Bd I Acc USD,52.8.LU0351443071,0.95,-3.41,-0.6,4.24,9.38,0.08,False,6.36,-1.16,0.96
11359,Schroder ISF Glb Cnvt Bd IZ Cap USD,52.8.LU2264145256,0.43,-4.01,,,,,False,,,
11360,Schroder ISF GlbSusCnvtBd A Acc USD Hdg,52.8.LU2448034319,-0.45,-5.04,,,,,False,,,
11361,Schroder ISF GlbSusCnvtBd A Dist USD Hdg,52.8.LU2448034152,-0.45,-5.04,,,,,False,,,
11362,Schroder ISF Glb Sus Cnvt Bd C Acc USD H,52.8.LU2275661168,0.24,-4.22,,,,,False,,,
11363,Schroder ISF GlbSusCnvtBd I Acc USD Hdg,52.8.LU2448033428,0.7,-3.68,,,,,False,,,
11364,SWC (LU) BF Resp Glbl Conv AT,52.8.LU0582724695,0.4,-5.08,0.8,3.64,9.41,0.26,False,,2.34,0.63
11365,SWC (LU) BF Resp Glbl Conv GT,52.8.LU0899937923,1.13,-4.21,1.7,4.56,9.41,0.36,False,,3.24,0.64
11366,SWC (LU) BF Resp Glbl Conv NT,52.8.LU1637934586,1.58,-3.69,2.26,5.14,9.42,0.41,False,,3.79,0.64
11367,Tyrus Capital Global Cnvrt A USD Acc H,,3.5,7.48,6.18,4.48,8.84,,False,,,
11368,Tyrus Capital Global Cnvrt I USD Acc H,52.8.LU1286786030,-0.03,-7.72,1.77,3.33,6.97,0.35,False,,,
11369,Tyrus Capital Global Cnvrt SI USD Acc H,52.8.LU1357022851,0.17,-7.51,2.13,3.82,7.01,0.41,False,,,
11370,UBAM Global Convertible Bond AHC USD,52.8.LU0940716409,-2.48,-8.04,-2.42,2.87,9.73,-0.08,False,5.19,-3.27,0.58
11371,UBS (Lux) BS Convt Glbl € USD H P-acc,52.8.LU0629154393,5.41,-1.22,3.32,5.78,9.77,0.55,False,7.28,1.49,0.55
11372,UBS (Lux) BS Convt Glbl € USD H Q-acc,52.8.LU0499399060,6.19,-0.32,4.26,6.73,9.78,0.64,False,8.25,2.4,0.55
11373,CS (Lux) Corporate Short Dur CHF Bd A,52.8.LU0155951675,5.79,6.01,2.87,2.85,4.28,0.46,False,2.2,-0.63,0.35
11374,CS (Lux) Corporate Short Dur CHF Bd B,52.8.LU0155952053,5.78,6.0,2.87,2.85,4.29,0.45,False,2.19,-0.63,0.35
11375,CS (Lux) Corporate Short Dur CHF Bd DB,52.8.LU1344630402,6.32,6.67,3.5,3.48,4.28,0.6,False,,-0.02,0.35
11376,CS (Lux) Corporate Short Dur CHF Bd EA,52.8.LU1024300938,6.08,6.37,3.22,3.2,4.28,0.53,False,,-0.29,0.35
11377,CS (Lux) Corporate Short Dur CHF Bd EB,52.8.LU0535913619,6.08,6.37,3.22,3.2,4.28,0.53,False,2.53,-0.29,0.35
11378,CS (Lux) Corporate Short Dur CHF Bd IB,52.8.LU0155952566,6.03,6.3,3.15,3.14,4.28,0.52,False,2.47,-0.36,0.35
11379,CS (Lux) Corporate Short Dur CHF Bd UA,52.8.LU1144399679,5.97,6.23,3.08,3.06,4.29,0.5,False,,-0.43,0.35
11380,CS (Lux) Corporate Short Dur CHF Bd UB,52.8.LU1144399752,5.97,6.22,3.08,3.06,4.28,0.5,False,,-0.43,0.35
11381,Nordea 1 - Norwegian Shrt-Term Bd AC NOK,52.8.LU0841579021,-7.74,-7.56,-0.5,-2.53,9.99,0.11,False,,,
11382,Nordea 1 - Norwegian Shrt-Term Bd AP NOK,52.8.LU0705267788,-7.74,-7.56,-0.5,-2.53,9.99,0.11,False,-2.06,,
11383,Nordea 1 - Norwegian Shrt-Term Bd BC EUR,52.8.LU0841577678,-7.52,-7.67,-0.54,-2.51,10.18,0.15,False,-2.06,,
11384,Nordea 1 - Norwegian Shrt-Term Bd BC NOK,52.8.LU0841578569,-7.74,-7.56,-0.5,-2.53,9.99,0.11,False,-2.06,,
11385,Nordea 1 - Norwegian Shrt-Term Bd BI NOK,52.8.LU0772961230,-7.65,-7.45,-0.39,-2.43,9.99,0.12,False,-1.95,,
11386,Nordea 1 - Norwegian Shrt-Term Bd BP EUR,52.8.LU0173786863,-7.52,-7.67,-0.53,-2.51,10.18,0.15,False,-2.06,,
11387,Nordea 1 - Norwegian Shrt-Term Bd BP NOK,52.8.LU0078812822,-7.74,-7.56,-0.5,-2.53,9.99,0.11,False,-2.06,,
11388,Nordea 1 - Norwegian Shrt-Term Bd BP SEK,52.8.LU0173923284,-7.68,-7.85,-0.55,-2.52,9.79,0.13,False,-2.06,,
11389,Nordea 1 - Norwegian Shrt-Term Bd E EUR,52.8.LU0173778332,-8.08,-8.36,-1.27,-3.24,10.18,0.07,False,-2.79,,
11390,Nordea 1 - Norwegian Shrt-Term Bd E NOK,52.8.LU0173797472,-8.3,-8.25,-1.25,-3.26,9.98,0.03,False,-2.79,,
11391,Nordea 1 - Swedish Short- Term Bd BC EUR,52.8.LU0841580466,-2.22,-2.18,-3.55,-2.05,6.25,-0.44,False,,0.29,0.32
11392,Nordea 1 - Swedish Short- Term Bd BC SEK,52.8.LU0841581514,-2.4,-2.38,-3.57,-2.06,6.02,-0.48,False,,0.06,0.29
11393,Nordea 1 - Swedish Short- Term Bd BI SEK,52.8.LU0772963442,-2.3,-2.26,-3.46,-1.95,6.02,-0.46,False,-2.43,0.16,0.28
11394,Nordea 1 - Swedish Short- Term Bd BP EUR,52.8.LU0173785626,-2.22,-2.18,-3.56,-2.05,6.26,-0.44,False,-2.56,0.3,0.33
11395,Nordea 1 - Swedish Short- Term Bd BP SEK,52.8.LU0064321663,-2.4,-2.38,-3.57,-2.06,6.02,-0.48,False,-2.55,0.05,0.29
11396,Nordea 1 - Swedish Short- Term Bd E EUR,52.8.LU0173778175,-2.82,-2.91,-4.28,-2.78,6.25,-0.56,False,-3.29,-0.48,0.32
11397,Nordea 1 - Swedish Short- Term Bd E SEK,52.8.LU0173797399,-2.99,-3.11,-4.29,-2.79,6.02,-0.61,False,-3.28,-0.7,0.28
11398,AB Fxd Mat Bd 2025 Ptf A2 EUR H Cap,52.8.LU2497413612,1.19,2.98,,,,,False,,,
11399,AB Fxd Mat Bd 2025 Ptf A2 USD Cap,52.8.LU2497413885,3.4,-2.76,,,,,False,,,
11400,AB Fxd Mat Bd 2025 Ptf AT EUR H Dis,52.8.LU2497413703,1.21,2.98,,,,,False,,,
11401,AB Fxd Mat Bd 2025 Ptf AT USD Dis,52.8.LU2497411590,3.4,-2.76,,,,,False,,,
11402,AB Fxd Mat Bd 2025 Ptf I2 USD Cap,52.8.LU2497412648,3.52,-2.62,,,,,False,,,
11403,AB Fxd Mat Bd 2025 Ptf IT USD Dis,52.8.LU2497412721,3.52,-2.62,,,,,False,,,
11404,AB Fxd Mat Bd 2026 Pt B2,52.8.LU2575945303,,,,,,,False,,,
11405,AB Fxd Mat Bd 2026 Pt BNN,52.8.LU2575945485,,,,,,,False,,,
11406,Abanca Rentas Crecientes 2026 FI,52.8.ES0162959003,2.03,2.36,,,,,False,,,
11407,Abanca Rentas Crecientes 2027 FI,52.8.ES0124527005,1.78,2.51,,,,,False,,,
11408,abrdnI-Glbl Bd Fxd Mat 2023 A Acc USD,52.8.LU2004512799,3.57,-1.48,1.84,,7.53,0.23,False,,,
11409,abrdnIII-EmrgMkt Bnd Fxd Mat24 AQIncHEUR,52.8.LU2146145888,2.13,4.83,,,,,False,,,
11410,abrdnIII-EmrgMkt Bnd Fxd Mat24 KAcc HEUR,52.8.LU2146147231,2.97,5.86,,,,,False,,,
11411,abrdnIII-Global Bd Fxd Mat25 K Acc HEUR,52.8.LU2308704118,-0.14,6.17,,,,,False,,,
11412,Allianz Cartera Bonos 26 FI,52.8.ES0108193006,,,,,,,False,,,
11413,Allianz Trgt Mat € o Bd II CT €,52.8.LU2637966677,,,,,,,False,,,
11414,Amundi Buy & Watch 2028 P-C,52.8.FR001400CJ01,0.74,,,,,,False,,,
11415,Amundi Buy & Watch 2028 P-D,52.8.FR001400CJ27,0.72,,,,,,False,,,
11416,Amundi Buy & Watch 2028 R-C,52.8.FR001400CJ43,0.98,,,,,,False,,,
11417,Amundi Buy & Watch High Yield 2028 PC,52.8.FR001400CJ84,2.66,,,,,,False,,,
11418,Amundi Buy & Watch High Yield 2028 PD,52.8.FR001400CJ92,2.4,,,,,,False,,,
11419,Amundi Buy & Watch High Yield 2028 RC,52.8.FR001400DK64,2.87,,,,,,False,,,
11420,Amundi FS Buy&Watch Inc 06/2025 AEURADD,52.8.LU1950964657,4.82,9.9,0.82,,6.37,0.18,False,,,
11421,Amundi FS Buy&Watch Inc 06/2025 AEURC,52.8.LU1956944869,4.81,9.87,0.81,,6.38,0.17,False,,,
11422,Amundi FS Buy&Watch Inc 06/2025 REURC,52.8.LU1963343279,5.17,10.33,1.25,,6.38,0.24,False,,,
11423,Amundi FS Buy&Watch Inc 07/2025 AEURADD,52.8.LU1950964814,4.49,10.21,0.27,,6.58,0.1,False,,,
11424,Amundi FS Buy&Watch Inc 07/2025 AEURC,52.8.LU1956945676,4.49,10.2,0.27,,6.58,0.1,False,,,
11425,Amundi FS Buy &WtchHiIncBd01/2025A€ADD,52.8.LU2033259164,7.41,14.59,3.62,,8.4,0.53,False,,,
11426,Amundi FS Buy &WtchHiIncBd01/2025A€C,52.8.LU2033259248,7.42,14.59,3.62,,8.4,0.53,False,,,
11427,Amundi FS Buy &WtchHiIncBd01/2025R€C,52.8.LU2033260097,7.81,15.11,4.08,,8.41,0.58,False,,,
11428,Amundi FS Buy&Wtch Hi IncBd08/2025AEURAD,52.8.LU2167065874,4.13,7.26,-0.2,,5.14,0.0,False,,,
11429,Amundi FS Buy&Wtch Hi IncBd08/2025 AEURC,52.8.LU2167065957,4.13,7.25,-0.2,,5.15,0.0,False,,,
11430,Amundi FS Buy&Wtch Hi IncBd08/2025REURAD,52.8.LU2167066419,4.33,7.52,0.05,,5.15,0.05,False,,,
11431,Amundi FS Buy&Wtch Hi IncBd08/2025 REURC,52.8.LU2167066500,4.35,7.52,0.05,,5.14,0.05,False,,,
11432,Amundi FS Buy&WtchHiIncBd11/2024A€ADD,52.8.LU2033257978,5.82,11.02,2.99,,7.32,0.49,False,,,
11433,Amundi FS Buy&WtchHiIncBd11/2024A€C,52.8.LU2033258190,5.82,11.01,2.99,,7.32,0.49,False,,,
11434,Amundi FS Buy&WtchHiIncBd11/2024R€C,52.8.LU2033258943,6.22,11.52,3.46,,7.32,0.55,False,,,
11435,Amundi FS Buy&Wtch Hi IncBd11/2025AEURC,52.8.LU2209393243,4.28,8.7,,,,,False,,,
11436,Amundi FS Buy & WtchInc06/2028-AEURAd(D),52.8.LU2572294911,,,,,,,False,,,
11437,Amundi FS Buy&Wtch Opt YldBd04/2026A EUR,52.8.LU2092767479,4.49,11.25,-1.82,,7.75,-0.16,False,,,
11438,Amundi FS Buy&Wtch Opt YldBd04/2026AEURD,52.8.LU2092767396,4.49,11.26,-1.82,,7.75,-0.16,False,,,
11439,Amundi FS Buy&WtchUSHYOpps11/2026A EUR,52.8.LU2505991617,2.91,,,,,,False,,,
11440,Arquia Rentabilidad 2025 FI,52.8.ES0110250000,,,,,,,False,,,
11441,ATL Capital Renta Fija 2027 A FI,52.8.ES0111153005,,,,,,,False,,,
11442,ATL Capital Renta Fija 2027 L FI,52.8.ES0111153013,,,,,,,False,,,
11443,AXA IM Euro Yield Target 2028 A Cap EUR,52.8.IE000T9J8Z28,,,,,,,False,,,
11444,AXA IM Euro Yield Target 2028 A Dis EUR,52.8.IE000QK028B7,,,,,,,False,,,
11445,AXA IM Euro Yield Target 2028 E Cap EUR,52.8.IE000DQBQF65,,,,,,,False,,,
11446,AXA IM Euro Yield Target 2028 F Cap EUR,52.8.IE0002EV2U98,,,,,,,False,,,
11447,AXA IM Euro Yield Target 2028 I Cap EUR,52.8.IE00074NZLZ9,,,,,,,False,,,
11448,AXAIM Maturity 2023 A Cap EUR,52.8.IE00BYMV5585,3.1,4.76,1.31,1.21,2.62,0.41,False,,,
11449,AXAIM Maturity 2023 A Dis EUR,52.8.IE00BYMV5692,3.09,4.76,1.31,1.21,2.62,0.41,False,,,
11450,AXAIM Maturity 2023 E Cap EUR,52.8.IE00BYMV5C58,2.67,4.23,0.8,0.71,2.62,0.22,False,,,
11451,AXAIM Maturity 2023 E Dis EUR,52.8.IE00BYMV5D65,2.68,4.23,0.8,0.71,2.63,0.21,False,,,
11452,Bankinter Bolsa España Objetivo 2027 FI,52.8.ES0114102033,3.63,5.38,,,,,False,,,
11453,Bankinter Bonos 2023 D FI,52.8.ES0158987018,2.02,2.78,-0.57,,1.38,-0.71,False,,,
11454,Bankinter Bonos 2023 R FI,52.8.ES0158987000,2.03,2.78,-0.2,,1.25,-0.47,False,,,
11455,Bankinter Consolidación 2028 FI,52.8.ES0114023007,4.41,5.61,,,,,False,,,
11456,Bankinter Deuda Publica 2024 FI,52.8.ES0164383004,1.69,1.46,,,,,False,,,
11457,Bankinter Deuda Publica 2025 FI,52.8.ES0113365003,1.36,0.91,,,,,False,,,
11458,Bankinter Deuda Publica 2026 D FI,52.8.ES0114886007,1.34,0.75,,,,,False,,,
11459,Bankinter Deuda Publica 2026 R FI,52.8.ES0114886015,1.34,0.75,,,,,False,,,
11460,Bankinter Europa Rentas 2027 FI,52.8.ES0113502001,,,,,,,False,,,
11461,Bankinter Horizonte 2024 B FI,52.8.ES0159038019,2.25,,,,,,False,,,
11462,Bankinter Horizonte 2024 C FI,52.8.ES0159038035,1.74,,,,,,False,,,
11463,Bankinter Horizonte 2024 R FI,52.8.ES0159038001,2.16,,,,,,False,,,
11464,Bankinter Horizonte 2025 C FI,52.8.ES0159039009,2.17,2.99,,,,,False,,,
11465,Bankinter Horizonte 2025 R FI,52.8.ES0159039017,2.08,3.06,,,,,False,,,
11466,Bankinter Horizonte 2026 C FI,52.8.ES0158990020,2.22,3.26,,,,,False,,,
11467,Bankinter Horizonte 2026 D FI,52.8.ES0158990004,2.16,4.61,,,,,False,,,
11468,Bankinter Horizonte 2026 R FI,52.8.ES0158990012,2.15,4.61,,,,,False,,,
11469,Bankinter Objetivo Diciembre 2023 FI,52.8.ES0138954039,1.75,2.0,0.12,2.1,0.47,-1.03,False,,,
11470,Bankinter Rentas Objetivo 2026 FI,52.8.ES0115088009,2.05,2.41,-3.04,,3.63,-0.93,False,,,
11471,BBVA Bonos 2024 FI,52.8.ES0119176008,0.8,0.16,-2.82,-0.72,2.18,-1.54,False,,,
11472,BBVA Bonos 2024 II FI,52.8.ES0113506002,,,,,,,False,,,
11473,BBVA Bonos 2025 FI,52.8.ES0125939001,1.33,1.06,,,,,False,,,
11474,BBVA Bonos 2025 II FI,52.8.ES0135707000,1.17,0.94,,,,,False,,,
11475,BBVA Bonos 2027 FI,52.8.ES0123746002,0.96,0.93,,,,,False,,,
11476,BBVA Bonos 2027 II FI,52.8.ES0135708008,1.15,,,,,,False,,,
11477,BBVA Rendimiento España Positivo FI,52.8.ES0142448002,1.63,1.49,-1.43,0.23,1.47,-1.35,False,,,
11478,BlackRock € IG Fxd Mat Bd 26 E € Inc,52.8.IE0000FDB7J4,,,,,,,False,,,
11479,BNPP A Fd Glb Fxd Rt Port 2024 Cl,52.8.LU2107569654,-0.15,-1.46,0.34,,6.79,0.03,False,,,
11480,BNPP A Fd Glb Fxd Rt Port 2024 Cl RH EUR,52.8.LU2107570231,-2.28,4.42,-4.78,,5.73,-0.86,False,,,
11481,BNPP Glbl Fl Rt Port 2025 Cl RH AUDMDDis,52.8.LU2361417640,-9.83,-4.39,,,,,False,,,
11482,BNPP Glbl Fl Rt Port 2025 Cl RH CNHMDDis,52.8.LU2361419000,-8.84,-5.98,,,,,False,,,
11483,BNPP Glbl Fl Rt Port 2025 Cl RH CZK Cap,52.8.LU2361417566,-1.14,8.44,,,,,False,,,
11484,BNPP Glbl Fl Rt Port 2025 Cl RH EUR Cap,52.8.LU2361418531,-2.16,4.89,,,,,False,,,
